"file","MP","Ftrgt","Btrigger","period","risk","SSB","Fbar","Catch","Fbar.1","SSB_rel","Catch_rel","Fbar_rel","ICV"
"mp_0.1_4200.rds","ICES_SAM",0.1,4200,"short-term",0.126857142857143,7136.93675518334,0.0909014573467098,698.999999999949,0.0909014573467098,1.40658309610092,0.580926607638316,0.389783167756962,0.129460864918902
"mp_0.1_4200.rds","ICES_SAM",0.1,4200,"all",0.126857142857143,8251.96480657405,0.0941813933753123,848.999999999991,0.0941813933753123,1.60833471866745,0.706822171746297,0.403091993081035,0.0972423800973591
"mp_0.1_4500.rds","ICES_SAM",0.1,4500,"long-term",0.000285714285714286,9473.36626254344,0.0973077214548053,1004.99997703569,0.0973077214548053,1.81819140750553,0.828688084675934,0.416500375026385,0.0779569889405815
"mp_0.1_4500.rds","ICES_SAM",0.1,4500,"short-term",0.126857142857143,7154.37020588165,0.0903847118872635,701.999999999665,0.0903847118872635,1.41062044504022,0.58318659925306,0.386383201607415,0.134526480125673
"mp_0.1_4500.rds","ICES_SAM",0.1,4500,"all",0.126857142857143,8263.0103923039,0.0939357179769527,850.999999999877,0.0939357179769527,1.61081722035042,0.708196745347201,0.401461473933394,0.0992757369917927
"mp_0.1_4800.rds","ICES_SAM",0.1,4800,"long-term",0.000285714285714286,9477.20587839262,0.0972401674870136,1005.99998919527,0.0972401674870136,1.81979085527853,0.829520937460202,0.415787527827383,0.0785440613026958
"mp_0.1_4800.rds","ICES_SAM",0.1,4800,"short-term",0.126857142857143,7188.58817464352,0.0895421032040928,708.999997900223,0.0895421032040928,1.4171590443963,0.588224098201729,0.3817274148163,0.140201494412774
"mp_0.1_4800.rds","ICES_SAM",0.1,4800,"all",0.126857142857143,8281.49006611424,0.0934861270980269,853.999999999997,0.0934861270980269,1.61507219662286,0.710882700102795,0.399080203502197,0.101473071008735
"mp_0.1_5000.rds","ICES_SAM",0.1,5000,"long-term",0.000285714285714286,9481.615971904,0.0972052773975184,1005.99999999997,0.0972052773975184,1.82110080875951,0.830457733136473,0.41572363876815,0.0788663744820014
"mp_0.1_5000.rds","ICES_SAM",0.1,5000,"short-term",0.126857142857143,7214.22928366408,0.0889011606399269,712.999999975862,0.0889011606399269,1.42225682778771,0.591740013963179,0.377763073100591,0.142624279463285
